DistanceFromTarget,ElevationDifference,GunTiltX,GunTiltY,XDifference,YDifference,Zdifference,HitOrMiss
16.57035,1.5793,61.34448,29.05826,16.41875,1.5793,1.583366,0
16.76631,1.462869,80.44623,102.7109,-4.255615,1.462869,16.15113,1
43.32448,1.467347,79.0983,44.68647,30.25154,1.467347,30.97906,0
31.38163,1.472776,77.65765,15.06957,30.94152,1.472776,5.025913,1
51.2378,1.470198,78.31981,50.86092,31.15644,1.470198,40.65005,0
39.87838,1.480593,75.83521,102.5785,-10.53421,1.480593,38.43336,0
29.94289,1.470639,78.20415,96.75032,-3.838158,1.470639,29.65944,1
42.82944,1.500066,72.0697,97.6368,-9.069637,1.500066,41.83124,0
25.66084,1.452428,84.79048,74.93359,10.08299,1.452428,23.55212,0
13.48611,1.547657,65.09901,147.1167,-12.22455,1.547657,5.480919,0
29.78082,1.470101,78.34541,116.6877,-15.31131,1.470101,25.50098,0
8.249789,1.88131,36.56918,55.55243,7.796881,1.88131,1.930893,0
48.32087,1.461753,80.81225,37.84957,38.77853,1.461753,28.79228,0
46.75301,1.462537,80.55363,24.36056,42.96611,1.462537,18.37437,0
16.79466,1.44873,92.11416,109.0688,-1.675925,1.44873,16.64791,0
24.09874,1.486603,74.57726,162.1926,-23.81844,1.486603,3.349804,0
23.39938,1.620748,57.01937,33.45821,23.24024,1.620748,2.189873,0
49.0539,1.468091,78.88999,139.5163,-36.51117,1.468091,32.72713,0
33.26012,1.487381,74.42175,141.1126,-27.9556,1.487381,17.9585,0
32.1617,1.536564,66.54667,24.41111,31.91451,1.536564,3.671272,0
25.70016,1.555204,64.15762,119.0446,-15.00539,1.555204,20.80667,0
43.38901,1.464506,79.93269,70.31873,17.30189,1.464506,39.76313,0
34.00211,1.453801,84.03658,59.31041,14.7333,1.453801,30.6098,0
45.85203,1.475181,77.07027,25.64109,42.81515,1.475181,16.34306,0
18.97931,1.528575,67.6438,69.89904,4.308261,1.528575,18.42054,0
19.15767,1.472487,77.73009,112.6649,-6.704006,1.472487,17.88588,1
47.91404,1.459605,81.56179,139.2085,-38.34068,1.459605,28.69873,0
38.74283,1.501195,71.87461,28.36832,36.25788,1.501195,13.56906,0
41.43483,1.472536,77.71786,75.06028,9.169863,1.472536,40.38057,0
59.68544,1.465749,79.55934,143.3989,-49.98126,1.465749,32.58952,0
